    8.0979      8.31
   10.4514     16.19
   19.7722     14.42
   29.6625     48.45
   38.7132      7.29
   45.4514    176.85
   66.5681     28.93
   91.5493     12.45
  101.6979     22.30
  142.3771     18.69
  149.7827     40.67
  313.4639      8.82
  411.0882      4.23
  496.9556     13.76
  501.6569     34.26
  586.6264     37.68
  599.5833     40.31
  608.4361     58.69
  640.4333    465.13
  670.4521     42.03
  918.1167     20.36
  938.4935      5.80
  973.2974      5.44
 1028.4626      4.15
